================================================================================
Started: 2026-06-17T12:51:14
Args: {'train_h5': PosixPath('/lustre/home/mariyam/GMI_1C-R/fixed_train/train_fixed_360k.h5'), 'val_h5': PosixPath('/lustre/home/mariyam/GMI_1C-R/fixed_val/val_fixed_50k.h5'), 'save_dir': PosixPath('checkpoints_recover_lr3e5_from_epoch38'), 'use_static': False, 'fill_target_nan': '0.0', 'loss': 'mse', 'batch_size': 64, 'val_batch_size': 128, 'epochs': 60, 'val_every': 1, 'max_train_batches': None, 'max_val_batches': None, 'lr': 3e-05, 'weight_decay': 0.0, 'seed': 42, 'base_filters': [8, 16, 32, 64], 'use_batchnorm': False, 'final_activation': 'identity', 'amp': False, 'grad_clip': 1.0, 'resume': PosixPath('checkpoints_recover_epoch14_lr1e4_noamp_clip/best_unet.pt'), 'save_every_epoch': False, 'early_stop_patience': 20, 'scheduler_patience': 6, 'scheduler_factor': 0.5, 'min_lr': 1e-06, 'log_every': 100}
================================================================================
Device: cuda
GPU: NVIDIA L40S

Train H5 info:
  path: /lustre/home/mariyam/GMI_1C-R/fixed_train/train_fixed_360k.h5
  n: 360000
  x_gmi_shape: (360000, 78, 40, 40)
  y_shape: (360000, 13, 40, 40)
  has_static: False
  x_static_shape: None
  x_gmi_chunks: (128, 10, 5, 5)
  y_chunks: (128, 2, 5, 10)
  compression_x_gmi: lzf
  compression_y: lzf
  attrs: {'lat_max': '70.0', 'lat_min': '-70.0', 'max_permanent_invalid_fraction': '0.3', 'min_target_valid_fraction': '0.7', 'num_patches_actual': '360000', 'num_patches_target': '360000', 'patch_size': '40', 'seed': '42', 'stride': '20', 'use_static': 'False'}

Val H5 info:
  path: /lustre/home/mariyam/GMI_1C-R/fixed_val/val_fixed_50k.h5
  n: 50000
  x_gmi_shape: (50000, 78, 40, 40)
  y_shape: (50000, 13, 40, 40)
  has_static: False
  x_static_shape: None
  x_gmi_chunks: (128, 10, 5, 5)
  y_chunks: (128, 2, 5, 10)
  compression_x_gmi: lzf
  compression_y: lzf
  attrs: {'min_valid_fraction': '0.7', 'num_patches_actual': '50000', 'num_patches_target': '50000', 'patch_size': '40', 'sampling': 'balanced random stride-aligned sampling from original validation days', 'seed': '999', 'stride': '20', 'use_static': 'False'}

Model:
  in_channels: 78
  out_channels: 13
  parameters: 491,325
  train batches/epoch: 5,625
  val batches: 391
  train batch size: 64
  val batch size: 128
AMP: False
Loss: mse

Resuming from checkpoints_recover_epoch14_lr1e4_noamp_clip/best_unet.pt
Reset optimizer LR to 3e-05
  start_epoch: 39
  best_val_loss: 33.59253692687988
  best_epoch: 38

--------------------------------------------------------------------------------
Starting epoch 39/60 at 2026-06-17T12:51:43
[epoch 039 step 004900/005625] batch_loss=32.425533 running_train_loss=32.439581
[epoch 039 step 005000/005625] batch_loss=24.555490 running_train_loss=32.484993
[epoch 039 step 005100/005625] batch_loss=37.379654 running_train_loss=32.499294
[epoch 039 step 005200/005625] batch_loss=29.132675 running_train_loss=32.492182
[epoch 039 step 005300/005625] batch_loss=31.505424 running_train_loss=32.485490
[epoch 039 step 005400/005625] batch_loss=32.384861 running_train_loss=32.481693
[epoch 039 step 005500/005625] batch_loss=27.004887 running_train_loss=32.474768
[epoch 039 step 005600/005625] batch_loss=39.545429 running_train_loss=32.588450
Validation starting ...
Saved new best model: val_loss=33.491064
Epoch [039/60] train_loss=32.581964 val_loss=33.491064 best_val=33.491064 best_epoch=39 lr=3.00e-05 time=94.8 min

--------------------------------------------------------------------------------
Starting epoch 40/60 at 2026-06-17T14:26:32
[epoch 040 step 000100/005625] batch_loss=31.589727 running_train_loss=33.609788
[epoch 040 step 000200/005625] batch_loss=38.035030 running_train_loss=33.204552
[epoch 040 step 000300/005625] batch_loss=25.933908 running_train_loss=33.153764
[epoch 040 step 000400/005625] batch_loss=25.446587 running_train_loss=32.807184
[epoch 040 step 000500/005625] batch_loss=30.328951 running_train_loss=32.967312
[epoch 040 step 000600/005625] batch_loss=29.883595 running_train_loss=33.051637
[epoch 040 step 000700/005625] batch_loss=33.659725 running_train_loss=33.016681
[epoch 040 step 000800/005625] batch_loss=36.329334 running_train_loss=32.972160
[epoch 040 step 000900/005625] batch_loss=28.459465 running_train_loss=32.929272
[epoch 040 step 001000/005625] batch_loss=31.317097 running_train_loss=33.083094
[epoch 040 step 001100/005625] batch_loss=24.674822 running_train_loss=32.992830
[epoch 040 step 001200/005625] batch_loss=30.182875 running_train_loss=32.935359
[epoch 040 step 001300/005625] batch_loss=27.758257 running_train_loss=32.933787
[epoch 040 step 001400/005625] batch_loss=32.344994 running_train_loss=32.882466
[epoch 040 step 001500/005625] batch_loss=32.709957 running_train_loss=32.782439
[epoch 040 step 001600/005625] batch_loss=32.199490 running_train_loss=32.774926
[epoch 040 step 001700/005625] batch_loss=29.672976 running_train_loss=32.676309
[epoch 040 step 001800/005625] batch_loss=35.752262 running_train_loss=32.549710
[epoch 040 step 001900/005625] batch_loss=34.440353 running_train_loss=32.519079
[epoch 040 step 002000/005625] batch_loss=24.481888 running_train_loss=32.496719
[epoch 040 step 002100/005625] batch_loss=31.160839 running_train_loss=32.482859
[epoch 040 step 002200/005625] batch_loss=27.749176 running_train_loss=32.449902
[epoch 040 step 002300/005625] batch_loss=34.509525 running_train_loss=32.417990
[epoch 040 step 002400/005625] batch_loss=26.497013 running_train_loss=32.393449
[epoch 040 step 002500/005625] batch_loss=40.959530 running_train_loss=32.348395
[epoch 040 step 002600/005625] batch_loss=28.102879 running_train_loss=32.329117
[epoch 040 step 002700/005625] batch_loss=32.029987 running_train_loss=32.311421
[epoch 040 step 002800/005625] batch_loss=35.109764 running_train_loss=32.331193
[epoch 040 step 002900/005625] batch_loss=41.072720 running_train_loss=32.342235
[epoch 040 step 003000/005625] batch_loss=23.460560 running_train_loss=32.346853
[epoch 040 step 003100/005625] batch_loss=34.627159 running_train_loss=32.334144
[epoch 040 step 003200/005625] batch_loss=34.803936 running_train_loss=32.331724
[epoch 040 step 003300/005625] batch_loss=28.228489 running_train_loss=32.341953
[epoch 040 step 003400/005625] batch_loss=30.273056 running_train_loss=32.319195
[epoch 040 step 003500/005625] batch_loss=22.788612 running_train_loss=32.324545
[epoch 040 step 003600/005625] batch_loss=25.920542 running_train_loss=32.348698
[epoch 040 step 003700/005625] batch_loss=31.829983 running_train_loss=32.343494
[epoch 040 step 003800/005625] batch_loss=38.972324 running_train_loss=32.327408
[epoch 040 step 003900/005625] batch_loss=35.153908 running_train_loss=32.356425
[epoch 040 step 004000/005625] batch_loss=30.563446 running_train_loss=32.391616
[epoch 040 step 004100/005625] batch_loss=44.212158 running_train_loss=32.410025
[epoch 040 step 004200/005625] batch_loss=29.001581 running_train_loss=32.391340
[epoch 040 step 004300/005625] batch_loss=37.809898 running_train_loss=32.407120
[epoch 040 step 004400/005625] batch_loss=37.267788 running_train_loss=32.388139
[epoch 040 step 004500/005625] batch_loss=25.491030 running_train_loss=32.367979
[epoch 040 step 004600/005625] batch_loss=31.598278 running_train_loss=32.358995
