timestamp,epoch,train_loss,val_loss,lr,best_val_loss_so_far,best_epoch,is_best,seconds_epoch
2026-06-16T17:09:33,15,46.376491659884984,40.38593663208008,0.0001,40.38593663208008,15,1,7363.1485340595245
2026-06-16T17:18:18,16,39.78485076056587,39.90382419189453,0.0001,39.90382419189453,16,1,525.6908059120178
2026-06-16T17:27:01,17,39.50510842793783,39.86472159423828,0.0001,39.86472159423828,17,1,522.9437313079834
2026-06-16T17:35:45,18,39.5788846605089,40.07963540771485,0.0001,39.86472159423828,17,0,523.5916123390198
2026-06-16T17:44:32,19,39.41038970947265,39.65907666015625,0.0001,39.65907666015625,19,1,527.0719673633575
2026-06-16T17:53:23,20,39.246956788126624,39.83197760620117,0.0001,39.65907666015625,19,0,531.008615732193
2026-06-16T18:02:10,21,38.51788581271701,38.97930657592774,0.0001,38.97930657592774,21,1,526.9879350662231
2026-06-16T18:11:00,22,38.0287036336263,39.05041278991699,0.0001,38.97930657592774,21,0,530.2129833698273
2026-06-16T18:19:57,23,37.30602225613064,37.151282755737306,0.0001,37.151282755737306,23,1,536.9984750747681
2026-06-16T18:28:41,24,36.23191232198079,36.55966251098633,0.0001,36.55966251098633,24,1,522.9916932582855
2026-06-16T18:37:27,25,35.90645081448025,36.172981251831054,0.0001,36.172981251831054,25,1,526.4540657997131
2026-06-16T18:46:09,26,35.638975041707354,36.233099616088865,0.0001,36.172981251831054,25,0,521.4812250137329
2026-06-16T18:54:51,27,35.3820088812934,35.857413558349606,0.0001,35.857413558349606,27,1,522.6363472938538
2026-06-16T19:03:36,28,35.14391603393555,35.83121988708496,0.0001,35.83121988708496,28,1,524.6337144374847
2026-06-16T19:12:19,29,34.89705657077366,35.436465129394534,0.0001,35.436465129394534,29,1,523.0056216716766
2026-06-16T19:21:07,30,34.58184363606771,35.191800970458985,0.0001,35.191800970458985,30,1,528.1502547264099
2026-06-16T19:29:51,31,34.252559297688805,35.367180547485354,0.0001,35.191800970458985,30,0,523.0897197723389
2026-06-16T19:38:36,32,33.91632090759278,34.32711470703125,0.0001,34.32711470703125,32,1,525.4564197063446
2026-06-16T19:47:21,33,33.658949020046656,34.19453540649414,0.0001,34.19453540649414,33,1,524.5531802177429
2026-06-16T19:56:01,34,33.52218367682563,34.138504765625,0.0001,34.138504765625,34,1,520.5537638664246
2026-06-16T20:04:46,35,33.37196132473416,34.51051758605957,0.0001,34.138504765625,34,0,524.9543952941895
2026-06-16T20:13:31,36,33.25236240403917,33.90454429748535,0.0001,33.90454429748535,36,1,524.0721335411072
2026-06-16T20:22:11,37,33.13700340237088,33.92409147644043,0.0001,33.90454429748535,36,0,520.0150673389435
2026-06-16T20:30:52,38,33.07824715135362,33.59253692687988,0.0001,33.59253692687988,38,1,521.2598559856415
2026-06-16T20:39:31,39,32.983795500691734,33.75957246337891,0.0001,33.59253692687988,38,0,519.519330739975
2026-06-16T20:48:16,40,32.88682339647081,33.85757458374023,0.0001,33.59253692687988,38,0,524.0517292022705
